[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu', 'Redovni', 'Tekstilna tehnologija i inženjerstvo, smjerovi: Odjevno inženjerstvo, Projektiranje i menadžment tekstila, Tekstilna kemija, materijali i ekologija', 'Zagreb', 170.0, 530.0, 138.0, 0.81, 0, 160.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Splitu', 'Redovni', 'Upravni studij (stručni)', 'Split', 155.0, 808.0, 184.0, 1.19, 0, 156.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Poslovna ekonomija (stručni)', 'Zagreb', 150.0, 1188.0, 206.0, 1.37, 0, 153.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Veterinarski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Veterinarska medicina', 'Zagreb', 150.0, 578.0, 207.0, 1.38, 0, 145.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Tehnički fakultet Sveučilišta u Rijeci', 'Redovni', 'Strojarstvo', 'Rijeka', 143.0, 672.0, 155.0, 1.08, 0, 140.0]
[2014, 'l', 'Veleučilište u Šibeniku', 'Javna veleučilišta', 'Veleučilište u Šibeniku', 'Redovni', 'Turistički menadžment (stručni)', 'Šibenik', 145.0, 452.0, 127.0, 0.88, 0, 140.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Prehrambeno tehnološki fakultet Sveučilišta u Osijeku', 'Redovni', 'Prehrambena tehnologija', 'Osijek', 140.0, 680.0, 133.0, 0.95, 0, 136.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Splitu', 'Redovni', 'Management malog poduzeća (stručni)', 'Split', 130.0, 951.0, 177.0, 1.36, 0, 131.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci', 'Izvanredni', 'Poslovna ekonomija u turizmu i ugostiteljstvu (izvanredni)', 'Zabok', 130.0, 595.0, 216.0, 1.66, 0, 130.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Medicinski fakultet Sveučilišta u Rijeci', 'Redovni', 'Medicina', 'Rijeka', 130.0, 901.0, 223.0, 1.72, 0, 129.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Farmaceutsko-biokemijski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Farmacija', 'Zagreb', 130.0, 823.0, 258.0, 1.98, 0, 127.0]
