Javna veleučilišta	veleuciliste
Privatna veleučilišta	veleuciliste
Privatna sveučilišta	sveuciliste
Javna sveučilišta	sveuciliste
Javne visoke škole	veleuciliste
Privatne visoke škole	veleuciliste
