Hrvatsko vojno učilište, Pomorski fakultet u Splitu i Filozofski fakultet u Splitu	Hrvatsko vojno učilište, Pomorski fakultet u Splitu i Filozofski fakultet u Splitu
Odjel za arheologiju Sveučilišta u Zadru	Odjel za arheologiju Sveučilišta u Zadru
Odjel za povijest umjetnosti Sveučilišta u Zadru	Odjel za povijest umjetnosti Sveučilišta u Zadru
Sveučilišni odjel za studije mora Sveučilišta u Splitu	Sveučilišni odjel za studije mora Sveučilišta u Splitu
Pravni fakultet Sveučilišta u Splitu	Pravni fakultet Sveučilišta u Splitu
Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku	Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku
Fakultet informatike i digitalnih tehnologija Sveučilišta u Rijeci	Fakultet informatike i digitalnih tehnologija Sveučilišta u Rijeci
Odjel za francuske i frankofonske studije Sveučilišta u Zadru	Odjel za francuske i frankofonske studije Sveučilišta u Zadru
Odjel za stručne studije Sveučilišta u Dubrovniku	Odjel za stručne studije Sveučilišta u Dubrovniku
Pravni fakultet Sveučilišta u Rijeci	Pravni fakultet Sveučilišta u Rijeci
Tehnički fakultet u Puli	Tehnički fakultet u Puli
Kineziološki fakultet Sveučilišta u Splitu	Kineziološki fakultet Sveučilišta u Splitu
Veleučilište u Požegi	Veleučilište u Požegi
Libertas Međunarodno sveučilište	Libertas Međunarodno sveučilište
Istarsko veleučilište	Istarsko veleučilište
EFFECTUS studij financije i pravo - visoko učilište	EFFECTUS studij financije i pravo - visoko učilište
Ekonomski fakultet Sveučilišta u Osijeku	Ekonomski fakultet Sveučilišta u Osijeku
Katolički bogoslovni fakultet Sveučilišta u Zagrebu	Katolički bogoslovni fakultet Sveučilišta u Zagrebu
Odjel za turizam i komunikacijske znanosti Sveučilišta u Zadru	Odjel za turizam i komunikacijske znanosti Sveučilišta u Zadru
Odjel za elektrotehniku i računarstvo Sveučilišta u Dubrovniku	Odjel za elektrotehniku i računarstvo Sveučilišta u Dubrovniku
Visoko evanđeosko teološko učilište u Osijeku	Visoko evanđeosko teološko učilište u Osijeku
Sveučilište u Splitu	Sveučilište u Splitu
Veleučilište u Slavonskom Brodu	Veleučilište u Slavonskom Brodu
Tehničko veleučilište u Zagrebu	Tehničko veleučilište u Zagrebu
Medicinski fakultet Sveučilišta u Rijeci	Medicinski fakultet Sveučilišta u Rijeci
Odjel za povijest Sveučilišta u Zadru	Odjel za povijest Sveučilišta u Zadru
Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci	Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci
Visoko učilište Algebra	Visoko učilište Algebra
Fakultet kemijskog inženjerstva i tehnologije Sveučilišta u Zagrebu	Fakultet kemijskog inženjerstva i tehnologije Sveučilišta u Zagrebu
Katolički bogoslovni fakultet u Đakovu Sveučilišta u Osijeku	Katolički bogoslovni fakultet u Đakovu Sveučilišta u Osijeku
Fakultet za dentalnu medicinu i zdravstvo Osijek	Fakultet za dentalnu medicinu i zdravstvo Osijek
Akademija primijenjenih umjetnosti	Akademija primijenjenih umjetnosti
Geotehnički fakultet Sveučilišta u Zagrebu	Geotehnički fakultet Sveučilišta u Zagrebu
DIU Libertas Međunarodno sveučilište	DIU Libertas Međunarodno sveučilište
Fakultet šumarstva i drvne tehnologije	Fakultet šumarstva i drvne tehnologije
Katolički bogoslovni fakultet Sveučilišta u Splitu	Katolički bogoslovni fakultet Sveučilišta u Splitu
Odjel za matematiku Sveučilišta u Osijeku	Odjel za matematiku Sveučilišta u Osijeku
Edukacijsko-rehabilitacijski fakultet Sveučilišta u Zagrebu	Edukacijsko-rehabilitacijski fakultet Sveučilišta u Zagrebu
Akademija za umjetnost i kulturu u Osijeku	Akademija za umjetnost i kulturu u Osijeku
Ekonomski fakultet Sveučilišta u Splitu	Ekonomski fakultet Sveučilišta u Splitu
Strojarski fakultet u Slavonskom Brodu Sveučilišta u Osijeku	Strojarski fakultet u Slavonskom Brodu Sveučilišta u Osijeku
Građevinski fakultet Sveučilišta u Zagrebu	Građevinski fakultet Sveučilišta u Zagrebu
Odjel za informacijske znanosti Sveučilišta u Zadru	Odjel za informacijske znanosti Sveučilišta u Zadru
Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu	Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu
Muzička akademija Sveučilišta u Zagrebu	Muzička akademija Sveučilišta u Zagrebu
Veleučilište u Virovitici	Veleučilište u Virovitici
Odjel za sociologiju Sveučilišta u Zadru	Odjel za sociologiju Sveučilišta u Zadru
Visoka škola za sigurnost, s pravom javnosti u Zagrebu	Visoka škola za sigurnost, s pravom javnosti u Zagrebu
Odjel za ekonomiju i poslovnu ekonomiju Sveučilišta u Dubrovniku	Odjel za ekonomiju i poslovnu ekonomiju Sveučilišta u Dubrovniku
Veterinarski fakultet Sveučilišta u Zagrebu	Veterinarski fakultet Sveučilišta u Zagrebu
Fakultet ekonomije i turizma Dr. Mijo Mirković Sveučilišta u Puli	Fakultet ekonomije i turizma Dr. Mijo Mirković Sveučilišta u Puli
Odjel za rusistiku Sveučilišta u Zadru	Odjel za rusistiku Sveučilišta u Zadru
Sveučilište VERN	Sveučilište VERN
Medicinski fakultet u Puli	Medicinski fakultet u Puli
Muzička akademija u Puli	Muzička akademija u Puli
Filozofski fakultet Sveučilišta u Splitu	Filozofski fakultet Sveučilišta u Splitu
Akademija likovnih umjetnosti Sveučilišta u Zagrebu	Akademija likovnih umjetnosti Sveučilišta u Zagrebu
Odjel za zdravstvene studije Sveučilišta u Zadru	Odjel za zdravstvene studije Sveučilišta u Zadru
Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu	Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu
Sveučilište u Dubrovniku	Sveučilište u Dubrovniku
Fakultet političkih znanosti, Filozofski fakultet, Fakultet elektrotehnike i računarstva, Fakultet strojarstva i brodogradnje, Pravni fakultet i Fakultet organizacije i informatike Sveučilišta u Zagrebu	Fakultet političkih znanosti, Filozofski fakultet, Fakultet elektrotehnike i računarstva, Fakultet strojarstva i brodogradnje, Pravni fakultet i Fakultet organizacije i informatike Sveučilišta u Zagrebu
Fakultet zdravstvenih studija Sveučilišta u Rijeci	Fakultet zdravstvenih studija Sveučilišta u Rijeci
Odjel za primijenjenu ekologiju Sveučilišta u Dubrovniku	Odjel za primijenjenu ekologiju Sveučilišta u Dubrovniku
Fakultet za odgojne i obrazovne znanosti u Puli	Fakultet za odgojne i obrazovne znanosti u Puli
Građevinski i arhitektonski fakultet Sveučilišta u Osijeku	Građevinski i arhitektonski fakultet Sveučilišta u Osijeku
Međimursko veleučilište u Čakovcu	Međimursko veleučilište u Čakovcu
Odjel za izobrazbu učitelja i odgojitelja Sveučilišta u Zadru	Odjel za izobrazbu učitelja i odgojitelja Sveučilišta u Zadru
Odjel za matematiku Sveučilišta u Rijeci	Odjel za matematiku Sveučilišta u Rijeci
Pravni fakultet Sveučilišta u Osijeku	Pravni fakultet Sveučilišta u Osijeku
Visoka škola za inspekcijski i kadrovski menadžment	Visoka škola za inspekcijski i kadrovski menadžment
Odjel za ekonomiju Sveučilišta u Zadru	Odjel za ekonomiju Sveučilišta u Zadru
Kineziološki fakultet Sveučilišta u Osijeku	Kineziološki fakultet Sveučilišta u Osijeku
Šumarski fakultet Sveučilišta u Zagrebu	Šumarski fakultet Sveučilišta u Zagrebu
Veleučilište "Lavoslav Ružička" u Vukovaru	Veleučilište "Lavoslav Ružička" u Vukovaru
Fakultet političkih znanosti Sveučilišta u Zagrebu	Fakultet političkih znanosti Sveučilišta u Zagrebu
Veleučilište u Rijeci	Veleučilište u Rijeci
Visoka poslovna škola PAR	Visoka poslovna škola PAR
Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld	Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld
Visoka škola Ivanić-Grad	Visoka škola Ivanić-Grad
Metalurški fakultet Sveučilišta u Zagrebu	Metalurški fakultet Sveučilišta u Zagrebu
Veleučilište u Šibeniku	Veleučilište u Šibeniku
Fakultet elektrotehnike i računarstva Sveučilišta u Zagrebu	Fakultet elektrotehnike i računarstva Sveučilišta u Zagrebu
Odjel za pedagogiju Sveučilišta u Zadru	Odjel za pedagogiju Sveučilišta u Zadru
Odjel za kroatistiku Sveučilišta u Zadru	Odjel za kroatistiku Sveučilišta u Zadru
Umjetnička akademija Sveučilišta u Splitu	Umjetnička akademija Sveučilišta u Splitu
Veleučilište VERN	Veleučilište VERN
Fakultet ekonomije i turizma Dr. Mijo Mirković u Puli	Fakultet ekonomije i turizma Dr. Mijo Mirković u Puli
Učiteljski fakultet Sveučilišta u Zagrebu	Učiteljski fakultet Sveučilišta u Zagrebu
RIT Croatia	RIT Croatia
Rudarsko-geološko-naftni fakultet Sveučilišta u Zagrebu	Rudarsko-geološko-naftni fakultet Sveučilišta u Zagrebu
Fakultet elektrotehnike i računarstva i Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu	Fakultet elektrotehnike i računarstva i Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu
Biotehnički odjel Sveučilišta u Slavonskom Brodu	Biotehnički odjel Sveučilišta u Slavonskom Brodu
Fakultet informatike u Puli	Fakultet informatike u Puli
